Brinco,Peso,Leite,Date
1069,768,36.3,3
1069,768,42.1,3
1069,768,42.7,3
1069,768,42.6,3
1069,759,40.4,4
1069,759,38.9,4
1069,759,39.8,4
1069,771,38.7,5
1069,771,36.2,5
1069,771,43.3,5
1069,764,42.6,7
1069,764,37.5,7
1069,764,39.5,7
1069,796,28.9,8
1069,796,28.9,8
1069,796,31,8
1069,803,28.6,9
1069,803,24.2,9
1428,650,32.1,2
1428,650,37.8,2
1428,650,37.8,3
1428,650,44,3
1428,650,46.9,3
1428,650,44.9,3
1428,655,48.5,4
1428,655,46.6,4
1428,655,47.7,4
1428,649,45.4,5
1428,649,53,5
1428,649,49.6,5
1428,661,45.2,7
1428,661,39.2,7
1428,661,45.8,7
1428,701,24,8
1428,701,24,8
1428,701,36.3,8
1428,732,34,9
1428,732,28.9,9
2195,659,38.8,4
2195,659,46,4
2195,659,45.1,4
2195,643,46,5
2195,643,46.5,5
2195,643,44.6,5
2195,656,26.6,11
2195,656,27.4,11
2195,656,28.2,11
2195,685,26.7,12
2195,685,28,12
2195,643,23.8,1
2195,643,24,1
2414,647,23.4,1
2414,647,24.2,1
2414,653,23.2,2
2414,653,20.8,2
2414,653,19.8,2
2414,592,27.5,9
2414,592,27.3,9
2592,493,25.3,2
2592,493,32.3,3
2592,493,33.6,3
2592,493,36.2,3
2592,493,34.4,3
2592,524,36.7,4
2592,524,36.4,4
2592,524,38.5,4
2592,544,35.3,5
2592,544,34,5
2592,544,26.1,5
2592,569,36.3,7
2592,569,31.5,7
2592,569,33.4,7
2592,596,25.2,8
2592,596,25.2,8
2592,596,30.5,8
2592,629,30.4,9
2592,629,35.4,9
2592,629,26.3,9
2592,621,29.6,10
3030,606,37.2,3
3030,606,40.4,3
3030,606,39.3,3
3030,645,39.4,4
3030,645,47.2,4
3030,645,43.7,4
3030,635,39.6,5
3030,635,41.6,5
3030,635,38.4,5
3030,653,45.3,7
3030,653,42.6,7
3030,653,43.4,7
3030,670,33.6,8
3030,670,33.6,8
3030,670,42.7,8
3030,695,39.8,9
3030,695,37.6,9
3030,695,40,9
3030,684,39.1,10
3030,684,37.5,10
3030,684,38.4,10
